PRODUCT_NUMBER,CUSTOMER_NUMBER,TRANSACTION_DATE,PRODUCT_PRICE,GROSS_SALES,REGION,WAREHOUSE,CUSTOMER_ZIP,CUSTOMER_SEGMENT1,CUSTOMER_SEGMENT2,CUSTOMER_TYPE1,CUSTOMER_TYPE2,CUSTOMER_MANAGED_LEVEL,CUSTOMER_ACCOUNT_TYPE,CUSTOMER_FIRST_ORDER_DATE,PRODUCT_CLASS_ID1,PRODUCT_CLASS_ID2,PRODUCT_CLASS_ID3,PRODUCT_CLASS_ID4,BRAND,PRODUCT_ATTRIBUTE_X,PRODUCT_SALES_UNIT,SHIPPING_WEIGHT,TOTAL_BOXES_SOLD,PRODUCT_COST1,PRODUCT_UNIT_OF_MEASURE,ORDER_SOURCE,PRICE_METHOD,SPECIAL_PART
10283064,108,2015-06-25 00:00:00.0000000,15.36,15.36,1,1,63,A,1,1,B,L,ST,2012-11-14 00:00:00.0000000,12,24,195,2290,IN_HOUSE,365.0,N,4.46,1.0,13.98,B,A,1,No
10283064,139,2014-05-30 00:00:00.0000000,15.42,15.42,1,1,80,A,1,1,B,L,ST,2006-03-21 00:00:00.0000000,12,24,195,2290,IN_HOUSE,365.0,N,4.46,1.0,13.88,B,A,4,No
10283064,101,2014-05-02 00:00:00.0000000,14.51,14.51,1,1,72,A,1,1,B,L,ST,2011-08-09 00:00:00.0000000,12,24,195,2290,IN_HOUSE,365.0,N,4.46,1.0,13.55,B,B,5,No
10283064,108,2015-02-26 00:00:00.0000000,14.98,14.98,1,1,63,A,1,1,B,L,ST,2012-11-14 00:00:00.0000000,12,24,195,2290,IN_HOUSE,365.0,N,4.46,1.0,14.4,B,A,1,No
10283064,108,2015-01-15 00:00:00.0000000,14.98,14.98,1,1,63,A,1,1,B,L,ST,2012-11-14 00:00:00.0000000,12,24,195,2290,IN_HOUSE,365.0,N,4.46,1.0,14.4,B,A,1,No
10283064,108,2015-02-12 00:00:00.0000000,14.98,14.98,1,1,63,A,1,1,B,L,ST,2012-11-14 00:00:00.0000000,12,24,195,2290,IN_HOUSE,365.0,N,4.46,1.0,14.4,B,A,1,No
10283064,108,2015-01-08 00:00:00.0000000,14.98,14.98,1,1,63,A,1,1,B,L,ST,2012-11-14 00:00:00.0000000,12,24,195,2290,IN_HOUSE,365.0,N,4.46,1.0,14.4,B,A,1,No
10283064,89,2014-08-18 00:00:00.0000000,15.08,15.08,1,1,53,A,1,1,B,L,ST,2001-03-19 00:00:00.0000000,12,24,195,2290,IN_HOUSE,365.0,N,4.46,1.0,14.4,B,A,1,No
10283064,108,2015-01-22 00:00:00.0000000,14.98,14.98,1,1,63,A,1,1,B,L,ST,2012-11-14 00:00:00.0000000,12,24,195,2290,IN_HOUSE,365.0,N,4.46,1.0,14.4,B,A,1,No
10283064,37,2015-03-12 00:00:00.0000000,16.8,33.6,1,1,84,A,1,1,B,L,ST,2008-05-02 00:00:00.0000000,12,24,195,2290,IN_HOUSE,365.0,N,8.92,2.0,28.8,B,A,1,No
